Region Id,Region Data,Region Name
1,502051,Drenthe
2,444701,Flevoland
3,659551,Fryslan
4,2133708,Gelderland
5,596075,Groningen
6,1128367,Limburg
7,2626210,Noord-Brabant
8,2952622,Noord-Holland
9,1184333,Overijssel
10,1387643,Utrecht
11,391124,Zeeland
12,3804906,Zuid-Holland
