Region Id,Region Data,Region Name
1,2455780,DE-BB
2,3292365,DE-BE
3,10486660,DE-BW
4,12397614,DE-BY
5,650863,DE-HB
6,5971816,DE-HE
7,1706696,DE-HH
8,1609982,DE-MV
9,7777992,DE-NI
10,17538251,DE-NW
11,3989808,DE-RP
12,2800119,DE-SH
13,999623,DE-SL
14,4056799,DE-SN
15,2287040,DE-ST
16,2188589,DE-TH
